d_5p_del,d_3p_del,d_gene,count
0,8,IGHD4/OR15-4b*01,1
6,13,IGHD3-22*01,1
12,4,IGHD3/OR15-3b*01,1
2,3,IGHD3-9*01,4
13,7,IGHD3-22*01,1
6,7,IGHD3-16*02,3
9,4,IGHD5-12*01,3
0,13,IGHD3-3*01,3
7,5,IGHD3-16*02,3
6,13,IGHD3-16*02,5
13,1,IGHD3-16*02,1
1,6,IGHD4-23*01,3
1,3,IGHD5-12*01,4
16,2,IGHD3-16*02,2
14,5,IGHD3-10*02,2
1,17,IGHD3-9*01,1
4,7,IGHD2-21*02,1
2,3,IGHD4-4*01,2
3,9,IGHD3-3*02,1
11,10,IGHD3/OR15-3b*01,97
5,8,IGHD3-22*01,2
3,1,IGHD2-15*01,5
5,7,IGHD2/OR15-2b*01,1
17,3,IGHD2-8*02,1
11,1,IGHD3-10*02,1
1,21,IGHD3-16*02,3
7,14,IGHD3-9*01,1
1,19,IGHD3-16*02,1
8,15,IGHD3-16*02,1
7,7,IGHD3-3*01,7
1,13,IGHD2-15*01,2
10,4,IGHD3-9*01,2
5,3,IGHD6-13*01,13
11,10,IGHD3-3*02,1
12,2,IGHD2-15*01,1
5,0,IGHD3-16*02,3
6,12,IGHD3-10*01,7
2,1,IGHD2/OR15-2b*01,1
15,5,IGHD3-16*01,2
8,4,IGHD6-6*01,2
0,0,IGHD1-14*01,3
8,5,IGHD1-26*01,1
0,4,IGHD4/OR15-4b*01,5
0,5,IGHD6-13*01,5
7,4,IGHD3-16*01,1
13,7,IGHD3-9*01,1
4,2,IGHD6-19*01,1
3,0,IGHD5-5*01,6
3,2,IGHD2-15*01,1
11,8,IGHD3-16*02,1
7,7,IGHD3-10*01,6
9,1,IGHD6-25*01,2
5,7,IGHD3-9*01,2
1,1,IGHD2-2*02,11
4,14,IGHD3-3*01,2
3,10,IGHD3-16*02,1
0,4,IGHD4-4*01,4
14,3,IGHD3-10*02,1
3,4,IGHD3-16*02,2
4,5,IGHD6-19*01,12
1,0,IGHD1-1*01,2
0,8,IGHD3-22*01,13
14,5,IGHD3-9*01,1
5,4,IGHD3-10*01,16
10,9,IGHD3-3*02,1
4,9,IGHD3-22*01,11
6,4,IGHD2-15*01,3
8,7,IGHD2-15*01,1
3,3,IGHD1-26*01,6
1,10,IGHD3-9*01,10
6,0,IGHD3-10*01,4
10,3,IGHD5-24*01,1
13,6,IGHD2-21*02,1
4,0,IGHD2-15*01,11
1,0,IGHD1-26*01,2
12,4,IGHD3-16*01,1
2,7,IGHD2-21*02,1
13,9,IGHD3-10*02,2
9,1,IGHD2-2*02,1
5,5,IGHD3-16*02,2
6,0,IGHD5/OR15-5b*01,1
1,22,IGHD2/OR15-2b*01,1
1,1,IGHD4-23*01,6
6,1,IGHD2-15*01,15
22,0,IGHD2/OR15-2b*01,1
0,17,IGHD3-22*01,2
8,3,IGHD1-14*01,1
13,12,IGHD3-10*02,1
8,3,IGHD5-24*01,1
2,4,IGHD5-12*01,1
0,17,IGHD3-16*02,1
4,5,IGHD2-15*01,3
8,2,IGHD5-12*01,5
0,5,IGHD3-16*02,1
7,13,IGHD3-3*01,9
12,9,IGHD3-9*01,3
9,9,IGHD3-10*02,1
7,0,IGHD3/OR15-3b*01,2
12,7,IGHD3-9*01,1
19,2,IGHD3-16*02,1
19,5,IGHD3-16*02,1
2,6,IGHD6-19*01,1
13,2,IGHD2-2*02,2
6,1,IGHD1-26*01,4
1,6,IGHD3/OR15-3b*01,20
2,2,IGHD5/OR15-5b*01,2
9,1,IGHD6-13*01,1
19,2,IGHD3-22*01,1
8,3,IGHD6-19*01,3
11,0,IGHD2-2*03,3
7,13,IGHD2-15*01,1
0,1,IGHD4-4*01,1
7,8,IGHD3-10*01,11
7,5,IGHD5-5*01,1
2,0,IGHD2-21*01,1
7,1,IGHD2-15*01,16
6,5,IGHD6-6*01,2
1,2,IGHD3-3*02,1
13,9,IGHD3-22*01,1
0,4,IGHD2-8*01,1
0,10,IGHD4/OR15-4b*01,7
28,0,IGHD3-16*01,1
17,1,IGHD3-10*02,2
6,4,IGHD1-14*01,1
2,4,IGHD3-16*02,1
1,3,IGHD6-19*01,7
9,10,IGHD3-3*02,2
0,0,IGHD2-2*02,9
2,10,IGHD3-16*02,1
3,6,IGHD3-9*01,2
12,10,IGHD3/OR15-3b*01,6
0,4,IGHD6-25*01,2
9,0,IGHD4/OR15-4b*01,1
0,7,IGHD5-12*01,1
