d_5p_del,d_3p_del,d_gene,count
2,3,IGHD6-13*01,25
1,14,IGHD3-16*02,5
1,9,IGHD3-3*01,2
9,11,IGHD3-22*01,1
4,5,IGHD1/OR15-1b*01,1
2,12,IGHD3-16*02,1
4,5,IGHD2-2*03,17
12,6,IGHD2-2*03,6
6,2,IGHD5-24*01,9
0,7,IGHD6-6*01,4
29,4,IGHD3-16*01,1
2,0,IGHD1-1*01,2
14,2,IGHD2-2*03,2
13,11,IGHD3/OR15-3b*01,3
3,4,IGHD4-4*01,5
7,14,IGHD3-3*01,1
6,4,IGHD4-23*01,17
8,2,IGHD1-26*01,69
2,3,IGHD7-27*01,2
1,12,IGHD2-2*03,1
0,7,IGHD2-15*01,1
2,15,IGHD3-22*01,3
6,3,IGHD2-8*01,2
10,13,IGHD2-2*03,1
0,6,IGHD3-3*01,7
7,2,IGHD1-20*01,2
1,15,IGHD2/OR15-2b*01,1
6,17,IGHD3-22*01,1
6,0,IGHD6-19*01,17
13,10,IGHD2-2*03,1
8,9,IGHD2-21*02,6
7,2,IGHD1/OR15-1b*01,1
17,3,IGHD2/OR15-2b*01,1
3,1,IGHD2-21*01,3
11,0,IGHD2-21*02,1
14,8,IGHD3-16*01,1
2,1,IGHD3-22*01,4
0,4,IGHD4-23*01,3
5,4,IGHD3-3*01,10
0,8,IGHD5-5*01,1
5,5,IGHD6-13*01,2
6,2,IGHD2-15*01,1
10,1,IGHD3-10*01,6
4,11,IGHD3-16*02,1
7,12,IGHD3-10*01,7
2,4,IGHD4-23*01,2
0,8,IGHD4-23*01,12
1,1,IGHD1-20*01,1
3,15,IGHD3-10*01,4
2,4,IGHD5-5*01,21
0,1,IGHD5-5*01,2
3,0,IGHD6-19*01,7
13,7,IGHD3-3*02,1
9,11,IGHD3-10*01,11
6,4,IGHD5/OR15-5b*01,1
8,8,IGHD2-15*01,1
2,4,IGHD2-2*03,1
11,15,IGHD3/OR15-3b*01,4
1,5,IGHD5/OR15-5b*01,1
7,1,IGHD4-23*01,2
1,1,IGHD5-24*01,1
4,16,IGHD3-10*01,3
5,0,IGHD3-3*01,3
10,4,IGHD3-22*01,3
8,2,IGHD2-15*01,1
4,3,IGHD2/OR15-2b*01,1
4,3,IGHD3-9*01,3
2,4,IGHD6-19*01,2
7,11,IGHD3-10*01,9
8,9,IGHD6-19*01,1
2,5,IGHD1-1*01,2
7,8,IGHD3-22*01,1
7,1,IGHD6-6*01,4
4,6,IGHD2-15*01,4
3,9,IGHD5-24*01,2
2,4,IGHD5-24*01,1
9,4,IGHD2-15*01,1
3,3,IGHD2-8*02,1
2,0,IGHD1-7*01,2
7,0,IGHD2-2*03,13
3,7,IGHD6-6*01,4
6,2,IGHD5-12*01,2
7,0,IGHD6-19*01,24
1,4,IGHD1-26*01,1
0,9,IGHD2-21*02,1
3,3,IGHD1/OR15-1b*01,1
1,6,IGHD3-10*01,9
6,7,IGHD3-3*02,1
18,14,IGHD3-16*02,5
10,1,IGHD1-20*01,1
12,20,IGHD3-16*02,1
11,0,IGHD1-14*01,1
11,16,IGHD3-16*02,3
9,0,IGHD5-24*01,1
6,17,IGHD3-16*02,2
0,3,IGHD5-24*01,4
10,3,IGHD6-19*01,1
4,3,IGHD2-21*01,2
12,2,IGHD3-22*01,1
10,0,IGHD3-16*02,1
3,0,IGHD2-21*01,2
7,0,IGHD1-14*01,6
12,4,IGHD3-22*01,1
10,7,IGHD5-12*01,1
1,22,IGHD3/OR15-3b*01,2
0,1,IGHD1-7*01,1
5,5,IGHD6-19*01,4
8,0,IGHD1/OR15-1b*01,1
1,1,IGHD4-17*01,8
6,2,IGHD1/OR15-1b*01,2
3,13,IGHD2-21*02,2
10,0,IGHD3-3*02,2
6,7,IGHD3-3*01,6
4,1,IGHD6-13*01,2
6,12,IGHD3-9*01,1
8,5,IGHD6-19*01,1
4,10,IGHD2-8*01,1
0,4,IGHD1/OR15-1b*01,1
0,6,IGHD1-26*01,15
5,6,IGHD1-26*01,13
3,16,IGHD2-15*01,1
6,1,IGHD2-21*02,1
14,0,IGHD5-5*01,3
12,13,IGHD3-16*02,3
