v_gene,d_gene,j_gene,cdr3_length,v_3p_del,d_5p_del,d_3p_del,j_5p_del,vd_insertion,dj_insertion,count
IGHV3-64*04,IGHD6-13*01,IGHJ4*02_F,75,1,0,3,0,23,7,1
IGHV4-30-4*06,IGHD3-10*02,IGHJ3*02_F,48,1,11,4,1,2,3,5
IGHV3-h*02,IGHD3-10*01,IGHJ4*02_F,45,1,7,13,5,5,7,5
IGHV1-8*91,IGHD6-19*01,IGHJ4*02_F,51,0,0,0,8,1,9,1
IGHV3-h*02,IGHD1-26*01,IGHJ4*02_F,44,0,2,8,6,3,9,1
IGHV3-h*01,IGHD3-3*02,IGHJ4*02_F,44,2,6,6,6,4,1,1
IGHV1-18*01,IGHD4-17*01,IGHJ4*02_F,51,1,3,3,0,10,4,1
IGHV3-23*04,IGHD5-5*01,IGHJ4*02_F,57,1,4,1,5,10,10,1
IGHV3-30*15,IGHD2-21*01,IGHJ4*02_F,57,4,6,0,1,2,10,2
IGHV3-h*02,IGHD5-12*01,IGHJ4*02_F,45,0,0,7,6,5,2,1
IGHV1-69*13,IGHD3-22*01,IGHJ5*02_F,69,0,3,0,4,3,11,1
IGHV3-64*04,IGHD7-27*01,IGHJ6*02_F,45,0,1,7,2,0,1,3
IGHV3-23*04,IGHD3-3*01,IGHJ6*03_F,75,0,4,4,3,10,2,1
IGHV3-NL1*01,IGHD3-22*01,IGHJ6*02_F,75,3,2,5,5,11,5,1
IGHV4/OR15-8*03,IGHD4-4*01,IGHJ4*02_F,72,0,0,3,5,18,18,1
IGHV5-51*03,IGHD7-27*01,IGHJ6*03_F,42,2,3,0,11,4,2,1
IGHV3-NL1*01,IGHD3-9*01,IGHJ4*02_F,36,1,3,18,8,5,2,1
IGHV4-59*09,IGHD1/OR15-1b*01,IGHJ6*03_F,69,0,2,0,6,15,2,1
IGHV5-a*04,IGHD2-15*01,IGHJ6*03_F,75,1,0,5,6,9,6,2
IGHV3-23*04,IGHD5-5*01,IGHJ4*02_F,36,5,0,2,6,1,0,1
