v_5p_del,v_gene,count
234,IGHV3-30*15,2
215,IGHV4-39*02,1
206,IGHV1-2*03,9
227,IGHV3-15*07,556
242,IGHV4-39*02,1
206,IGHV3-11*04,2
203,IGHV1-f*01,3
218,IGHV1-3*01,21
203,IGHV3-33*03,1
221,IGHV4/OR15-8*03,102
230,IGHV3-64*91,1
218,IGHV4-59*08,8
206,IGHV3-33*06,1
203,IGHV3-h*01,31
197,IGHV3-53*02,6
209,IGHV3-33*05,69
215,IGHV3-71*03,8
221,IGHV3-64*05,2
230,IGHV4-b*02,3
200,IGHV4-34*13,1
209,IGHV4-30-2*91,1
185,IGHV3-66*03,1
221,IGHV6-1*02,4
209,IGHV3-11*01,197
185,IGHV3-h*01,14
233,IGHV1-46*02,13
227,IGHV3-71*02,10
221,IGHV2-70*12,1
215,IGHV1/OR15-1*04,7
206,IGHV1-46*03,3
209,IGHV1/OR15-1*04,3
203,IGHV3-23*02,6
233,IGHV1-3*01,1
230,IGHV1-24*01,1
212,IGHV3-20*91,1
237,IGHV3-9*02,1
218,IGHV2-5*01,1
206,IGHV3-53*02,119
238,IGHV3-64*04,1
224,IGHV3-33*02,1
221,IGHV3-64*02,440
221,IGHV3-43*91,1
206,IGHV4-61*02,24
230,IGHV3-19*01,1
215,IGHV3-23*03,3
212,IGHV3-43*02,3
200,IGHV4-59*08,2
236,IGHV3-53*03,1
206,IGHV3-71*03,62
212,IGHV4-55*08,6
206,IGHV3-71*02,1
233,IGHV3-74*03,4
254,IGHV4-61*08,27
230,IGHV5-51*02,45
217,IGHV3-53*02,2
179,IGHV4-4*91,1
212,IGHV4-39*01,9
227,IGHV3-73*02,90
239,IGHV3-9*91,4
209,IGHV3-33*02,19
188,IGHV3-23*04,1
221,IGHV2-5*01,2
229,IGHV3-33*02,1
215,IGHV1-46*03,1
205,IGHV3-66*03,2
152,IGHV4-61*06,2
209,IGHV3-74*03,301
227,IGHV1-46*03,1
257,IGHV4-4*01,1
212,IGHV6-1*02,1
208,IGHV5-51*02,7
239,IGHV1-69*13,15
236,IGHV3-23*04,22
194,IGHV3-NL1*01,1
245,IGHV1/OR15-3*02,3
239,IGHV1-3*01,12
230,IGHV3-NL1*01,24
139,IGHV4-59*09,2
232,IGHV1-18*01,1
200,IGHV3-23*02,42
206,IGHV3-71*01,25
230,IGHV3-66*03,8
233,IGHV4-61*08,4
231,IGHV4-59*10,1
246,IGHV3-72*01,1
221,IGHV4-30-4*02,1
200,IGHV3-30*15,8
209,IGHV7-4-1*02,5
233,IGHV3-NL1*01,28
134,IGHV4-61*06,12
218,IGHV3-30-3*01,1
224,IGHV3-h*02,3
276,IGHV3-9*91,1
133,IGHV4-61*06,1
251,IGHV4-b*02,1
221,IGHV3-72*01,2
245,IGHV3-15*07,45
233,IGHV3-13*04,2
